facility,address,city,system_abbrev,zip_code,latitude,longitude,full_address,capacity,in_hsf,hsf_facility_name
Burruss Correctional Training Center ,1000 Indian Springs Dr,Forsyth,GA,31029,33.05680,-83.97431,"1000 Indian Springs Dr, Forsyth, GA 31029",,,BURRUSS CORRECTIONAL TRAINING CENTER 
Calhoun State Prison,27823 Main St,Morgan,GA,39866,31.53986,-84.61627,"27823 Main St, Morgan, GA 39866",,,CALHOUN STATE PRISON
Central State Prison,4600 Fulton Mill Rd,Macon,GA,31208,32.83319,-83.49349,"4600 Fulton Mill Rd, Macon, GA 31208",,,CENTRAL STATE PRISON
Coastal State Prison,200 Gulf Stream Rd,Garden City,GA,31418,32.21627,-81.00951,"200 Gulf Stream Rd, Garden City, GA 31418",,,COASTAL STATE PRISON
Dodge State Prison,2971 Old Bethel Church Rd,Chester,GA,31012,32.39367,-83.16719,"2971 Old Bethel Church Rd, Chester, GA 31012",,,DODGE STATE PRISON
Dooly State Prison,1412 Plunkett Rd,Unadilla,GA,31091,32.28094,-83.71641,"1412 Plunkett Rd, Unadilla, GA 31091",,,DOOLY STATE PRISON
Emanuel Women's Facility,714 Gumlog Rd,Swainsboro,GA,30401,32.61270,-82.35627,"714 Gumlog Rd, Swainsboro, GA 30401",,,EMANUEL WOMEN'S FACILITY
GA Diagnostic Class Prison,2978 Hwy 36 W. Prison Blvd,Jackson,GA,30233,33.21943,-84.06031,"2978 Hwy 36 W. Prison Blvd, Jackson, GA 30233",,,GA DIAGNOSTIC CLASS PRISON
Hancock State Prison,701 Prison Blvd,Sparta,GA,31087,33.24584,-82.95063,"701 Prison Blvd, Sparta, GA 31087",,,HANCOCK STATE PRISON
Hays State Prison,777 Underwood Dr,Trion,GA,30753,34.59626,-85.01510,"777 Underwood Dr, Trion, GA 30753",,,HAYS STATE PRISON
Helms Facility ,1275 Constitution Rd S.E.,Atlanta,GA,30316,33.68896,-84.33780,"1275 Constitution Rd S.E., Atlanta, GA 30316",,,HELMS FACILITY 
Johnson State Prison,290 Donovan-Harrison Rd,Wrightsville,GA,31096,32.74216,-82.70435,"290 Donovan-Harrison Rd, Wrightsville, GA 31096",,,JOHNSON STATE PRISON
Lee Arrendale State Prison,2023 Gainesville Hwy,Alto,GA,30510,34.45078,-83.59286,"2023 Gainesville Hwy, Alto, GA 30510",,,LEE ARRENDALE STATE PRISON
Lee State Prison,153 Pinewood Dr,Leesburg,GA,31763,31.76342,-84.19296,"153 Pinewood Dr, Leesburg, GA 31763",,,LEE STATE PRISON
Long Unit,1434 U.S. Hwy 84 E.,Ludowici,GA,31316,31.72297,-81.72419,"1434 U.S. Hwy 84 E., Ludowici, GA 31316",,,LONG UNIT
Macon State Prison,2728 Hwy 49 S.,Oglethorpe,GA,31068,32.25908,-84.09096,"2728 Hwy 49 S., Oglethorpe, GA 31068",,,MACON STATE PRISON
Metro Reentry Facility ,1301 Constitution Rd S.E.,Atlanta,GA,30316,33.68711,-84.33472,"1301 Constitution Rd S.E., Atlanta, GA 30316",,,METRO REENTRY FACILITY 
Montgomery State Prison,650 Mt. Vernon/Alston Rd,Mt. Vernon,GA,30445,32.16179,-82.56616,"650 Mt. Vernon/Alston Rd, Mt. Vernon, GA 30445",,,MONTGOMERY STATE PRISON
Phillips State Prison,2989 West Rock Quarry Rd,Buford,GA,30519,34.09452,-83.91016,"2989 West Rock Quarry Rd, Buford, GA 30519",,,PHILLIPS STATE PRISON
Pulaski State Prison,373 Upper River Rd,Hawkinsville,GA,31036,32.40253,-83.30343,"373 Upper River Rd, Hawkinsville, GA 31036",,,PULASKI STATE PRISON
Rogers State Prison,1978 Georgia Hwy 147,Reidsville,GA,30453,32.00185,-82.17917,"1978 Georgia Hwy 147, Reidsville, GA 30453",,,ROGERS STATE PRISON
Rutledge State Prison,7175 Manor Rd,Columbus,GA,31907,32.49609,-84.86577,"7175 Manor Rd, Columbus, GA 31907",,,RUTLEDGE STATE PRISON
Smith State Prison,9676 Hwy 301 North,Glennville,GA,30427,32.04178,-81.54700,"9676 Hwy 301 North, Glennville, GA 30427",,,SMITH STATE PRISON
Telfair State Prison,170 Longbridge Rd,Helena,GA,31037,32.08857,-82.90804,"170 Longbridge Rd, Helena, GA 31037",,,TELFAIR STATE PRISON
Valdosta State Prison,3259 Valtech Rd,Valdosta,GA,31601,31.05626,-83.07266,"3259 Valtech Rd, Valdosta, GA 31601",,,VALDOSTA STATE PRISON
Walker State Prison,97 Kevin Ln,Rock Spring,GA,30739,34.89199,-84.98513,"97 Kevin Ln, Rock Spring, GA 30739",,,WALKER STATE PRISON
Ware State Prison,3620 Harris Rd,Waycross,GA,31503,31.25876,-82.39427,"3620 Harris Rd, Waycross, GA 31503",,,WARE STATE PRISON
Washington State Prison,13262 Hwy 24 E.,Davisboro,GA,31018,32.98823,-82.59472,"13262 Hwy 24 E., Davisboro, GA 31018",,,WASHINGTON STATE PRISON
Whitworth Women's Facility ,414 Valley Hart Rd,Hartwell,GA,30643,34.31219,-82.93798,"414 Valley Hart Rd, Hartwell, GA 30643",,,WHITWORTH WOMEN'S FACILITY 
Wilcox State Prison,470 S. Broad St,Abbeville,GA,31001,31.98630,-83.30016,"470 S. Broad St, Abbeville, GA 31001",,,WILCOX STATE PRISON
Halawa Correctional Facility,99-902 Moanalua Rd,Aiea,HI,96701,21.37435,-157.89818,"99-902 Moanalua Rd, Aiea, HI 96701",,,HALAWA CORRECTIONAL FACILITY
Kulani Correctional Facility ,HC 01 Stainback Hwy,Hilo,HI,96720,19.54982,-155.30094,X,,,KULANI CORRECTIONAL FACILITY 
Waiawa Correctional Facility,Waiawa Prison Rd,Waipahu,HI,96782,21.44548,-157.95848,"Waiawa Prison Rd, Waipahu, HI 96782",,,WAIAWA CORRECTIONAL FACILITY
Women's Community Correctional Center ,42-477 Kalaniana'ole,Kailua,HI,96734,21.37761,-157.74828,"42-477 Kalaniana'ole, Kailua, HI 96734",,,WOMEN'S COMMUNITY CORRECTIONAL CENTER 
Idaho State Correctional Center,14601 S Pleasant Valley Rd,Kuna ,ID,83634,43.47062,-116.23419,"14601 S Pleasant Valley Rd, Kuna , ID 83634",,,IDAHO STATE CORRECTIONAL CENTER
Idaho Maximum Security Institution ,13400 S. Pleasant Valley Rd,Kuna ,ID,83634,43.47915,-116.22319,"13400 S. Pleasant Valley Rd, Kuna , ID 83634",,,IDAHO MAXIMUM SECURITY INSTITUTION 
Idaho State Correctional Institution,13500 S. Pleasant Valley Rd,Kuna ,ID,83634,43.47767,-116.21999,"13500 S. Pleasant Valley Rd, Kuna , ID 83634",,,IDAHO STATE CORRECTIONAL INSTITUTION
South Boise Women's Correctional Center,13200 Pleasant Valley Rd,Kuna ,ID,83634,43.48150,-116.22962,"13200 Pleasant Valley Rd, Kuna , ID 83634",,,SOUTH BOISE WOMEN'S CORRECTIONAL CENTER
South Idaho Correctional Institution,13900 Pleasant Valley Rd,Kuna ,ID,83634,43.47601,-116.21097,"13900 Pleasant Valley Rd, Kuna , ID 83634",,,SOUTH IDAHO CORRECTIONAL INSTITUTION
North Idaho Correctional Institution,236 Radar Rd,Cottonwood ,ID,83522,46.07921,-116.42795,"236 Radar Rd, Cottonwood , ID 83522",,,NORTH IDAHO CORRECTIONAL INSTITUTION
Idaho Correctional Institution - Orofino,381 W. Hospital Drive,Orofino ,ID,83544,46.49169,-116.26022,"381 W. Hospital Drive, Orofino , ID 83544",,,IDAHO CORRECTIONAL INSTITUTION - OROFINO
Pocatello Women's Correctional Cent,1451 Fore Rd,Pocatello ,ID,83204,42.84317,-112.44993,"1451 Fore Rd, Pocatello , ID 83204",,,POCATELLO WOMEN'S CORRECTIONAL CENT
St. Anthony Work Camp ,125 N. 8th W.,St. Anthony,ID,83445,43.96775,-111.69276,"125 N. 8th W., St. Anthony, ID 83445",,,ST. ANTHONY WORK CAMP 
Mountain View Transformation Center,15505 S. Pleasant Valley Rd,Kuna ,ID,83634,43.46200,-116.23439,"15505 S. Pleasant Valley Rd, Kuna , ID 83634",,,MOUNTAIN VIEW TRANSFORMATION CENTER
Saguaro Correctional Center,1250 E. Arica Rd,Eloy ,ID,85131,32.80811,-111.52524,"1250 E. Arica Rd, Eloy, AZ 85131",,,SAGUARO CORRECTIONAL CENTER
Big Muddy River Correctional Center,251 N. Illinois Hwy 37,Ina,IL,62846,38.13079,-88.90640,,,,BIG MUDDY RIVER CORRECTIONAL CENTER
Centralia Correctional Center,9330 Shattuc Rd,Centralia,IL,62801,,,"9330 Shattuc Rd, Centralia, IL 62801",,,CENTRALIA CORRECTIONAL CENTER
Danville Correctional Center,3820 E. Main St,Danville,IL,61834,,,"3820 E. Main St, Danville, IL 61834",,,DANVILLE CORRECTIONAL CENTER
Decatur Correctional Center,2310 E. Mound Rd,Decatur,IL,62524,,,"2310 E. Mound Rd, Decatur, IL 62524",,,DECATUR CORRECTIONAL CENTER
Dixon Correctional Center,2600 N. Brinton Ave,Dixon,IL,61021,,,"2600 N. Brinton Ave, Dixon, IL 61021",,,DIXON CORRECTIONAL CENTER
East Moline Correctional Center,100 Hillcrest Rd,East Moline,IL,61244,,,"100 Hillcrest Rd, East Moline, IL 61244",,,EAST MOLINE CORRECTIONAL CENTER
Graham Correctional Center,12078 Illinois Rte 185,Hillsboro,IL,62049,,,"12078 Illinois Rte 185, Hillsboro, IL 62049",,,GRAHAM CORRECTIONAL CENTER
Hill Correctional Center,600 South Linwood Rd,Galesburg,IL,61402,,,"600 South Linwood Rd, Galesburg, IL 61402",,,HILL CORRECTIONAL CENTER
Illinois River Correctional Center,1300 W. Locust St,Canton,IL,61520,,,"1300 W. Locust St, Canton, IL 61520",,,ILLINOIS RIVER CORRECTIONAL CENTER
Jacksonville Correctional Center,2268 E. Morton Ave,Jacksonville,IL,62650,,,"2268 E. Morton Ave, Jacksonville, IL 62650",,,JACKSONVILLE CORRECTIONAL CENTER
Joliet Inpatient Treatment Center,2848 McDonough St,Joliet,IL,60436,,,"2848 McDonough St, Joliet, IL 60436",,,JOLIET INPATIENT TREATMENT CENTER
Joliet Treatment Center,2848 W. McDonough,Joliet,IL,60436,,,"2848 W. McDonough, Joliet, IL 60436",,,JOLIET TREATMENT CENTER
Lawrence Correctional Center,10940 Lawrence Rd,Sumner,IL,62466,,,"10940 Lawrence Rd, Sumner, IL 62466",,,LAWRENCE CORRECTIONAL CENTER
Lincoln Correctional Center,1098 1350th St,Lincoln,IL,62656,,,"1098 1350th St, Lincoln, IL 62656",,,LINCOLN CORRECTIONAL CENTER
Logan Correctional Center,1096 1350th St,Lincoln,IL,62656,,,"1096 1350th St, Lincoln, IL 62656",,,LOGAN CORRECTIONAL CENTER
Menard Correctional Center,711 Kaskaskia St,Menard,IL,62259,,,"711 Kaskaskia St, Menard, IL 62259",,,MENARD CORRECTIONAL CENTER
Menard Medium Security Unit,711 Kaskaskia St,Menard,IL,62259,,,"711 Kaskaskia St, Menard, IL 62259",,,MENARD MEDIUM SECURITY UNIT
Pinckneyville Correctional Center,5835 State Rte 154,Pinckneyville,IL,62274,,,"5835 State Rte 154, Pinckneyville, IL 62274",,,PINCKNEYVILLE CORRECTIONAL CENTER
Pontiac Correctional Center,700 W. Lincoln St,Pontiac,IL,61764,,,"700 W. Lincoln St, Pontiac, IL 61764",,,PONTIAC CORRECTIONAL CENTER
Pontiac Medium Security Unit,700 W. Lincoln St,Pontiac,IL,61764,,,"700 W. Lincoln St, Pontiac, IL 61764",,,PONTIAC MEDIUM SECURITY UNIT
Robinson Correctional Center,13423 E. 1150th Ave,Robinson,IL,62454,,,"13423 E. 1150th Ave, Robinson, IL 62454",,,ROBINSON CORRECTIONAL CENTER
Shawnee Correctional Center,6665 State Rte 146 E.,Vienna,IL,62995,,,"6665 State Rte 146 E., Vienna, IL 62995",,,SHAWNEE CORRECTIONAL CENTER
Sheridan Correctional Center,4017 E. 2603 Rd,Sheridan,IL,60551,,,"4017 E. 2603 Rd, Sheridan, IL 60551",,,SHERIDAN CORRECTIONAL CENTER
Southwestern Illinois Correctional Center,950 Kingshighway St,East St. Louis,IL,62203,,,"950 Kingshighway St, East St. Louis, IL 62203",,,SOUTHWESTERN ILLINOIS CORRECTIONAL CENTER
Stateville Correctional Center,16830 S. Broadway St,Joliet,IL,60434,,,"16830 S. Broadway St, Joliet, IL 60434",,,STATEVILLE CORRECTIONAL CENTER
Taylorville Correctional Center,1144 Illinois Rte 29,Taylorville,IL,62568,,,"1144 Illinois Rte 29, Taylorville, IL 62568",,,TAYLORVILLE CORRECTIONAL CENTER
Vandalia Correctional Center,Rte 51 W.,Vandalia,IL,62471,,,"Rte 51 W., Vandalia, IL 62471",,,VANDALIA CORRECTIONAL CENTER
Vienna Correctional Center,6695 State Rte 146 E.,Vienna,IL,62995,,,"6695 State Rte 146 E., Vienna, IL 62995",,,VIENNA CORRECTIONAL CENTER
Western Illinois Correctional Center,2500 IL-99,Mount Sterling,IL,62353,,,"2500 IL-99, Mount Sterling, IL 62353",,,WESTERN ILLINOIS CORRECTIONAL CENTER
Branchville Correctional Facility ,21390 Old State Rd 37,Branchville,IN,47514,,,"21390 Old State Rd 37, Branchville, IN 47514",,,BRANCHVILLE CORRECTIONAL FACILITY 
Chain O' Lakes Correctional Facility,3516 E. 75 S.,Albion,IN,46701,,,"3516 E. 75 S., Albion, IN 46701",,,CHAIN O' LAKES CORRECTIONAL FACILITY
Correction Industrial Facility ,5124 W. Reformatory Rd,Pendleton,IN,46064,,,"5124 W. Reformatory Rd, Pendleton, IN 46064",,,CORRECTION INDUSTRIAL FACILITY 
Edinburgh Correctional Facility,703 23rd St,Edinburgh,IN,46124,,,"703 23rd St, Edinburgh, IN 46124",,,EDINBURGH CORRECTIONAL FACILITY
Heritage Trail Correctional Facility,501 W. Main St,Plainfield,IN,46168,,,"501 W. Main St, Plainfield, IN 46168",,,HERITAGE TRAIL CORRECTIONAL FACILITY
Indiana State Prison,1 Park Row,Michigan City,IN,46360,,,"1 Park Row, Michigan City, IN 46360",,,INDIANA STATE PRISON
Indiana Women's Prison,2596 N. Girls School Rd,Indianapolis,IN,46214,,,"2596 N. Girls School Rd, Indianapolis, IN 46214",,,INDIANA WOMEN'S PRISON
Miami Correctional Facility,3038 W. 850 S.,Bunker Hill,IN,46914,,,"3038 W. 850 S., Bunker Hill, IN 46914",,,MIAMI CORRECTIONAL FACILITY
Madison Correctional Facility,800 MSH Bus Stop Dr,Madison,IN,47250,,,"800 MSH Bus Stop Dr, Madison, IN 47250",,,MADISON CORRECTIONAL FACILITY
New Castle Correctional Facility,1000 Van Nuys Rd,New Castle,IN,47362,,,"1000 Van Nuys Rd, New Castle, IN 47362",,,NEW CASTLE CORRECTIONAL FACILITY
Pendleton Correctional Facility,4490 W. Reformatory Rd,Pendleton,IN,46064,,,"4490 W. Reformatory Rd, Pendleton, IN 46064",,,PENDLETON CORRECTIONAL FACILITY
Plainfield Correctional Facility,727 Moon Rd,Plainfield,IN,46168,,,"727 Moon Rd, Plainfield, IN 46168",,,PLAINFIELD CORRECTIONAL FACILITY
Putnamville Correctional Facility,1946 W. U.S. Hwy 40,Greencastle,IN,46135,,,"1946 W. U.S. Hwy 40, Greencastle, IN 46135",,,PUTNAMVILLE CORRECTIONAL FACILITY
Reception Diagnostic Center,737 Moon Rd,Plainfield,IN,46168,,,"737 Moon Rd, Plainfield, IN 46168",,,RECEPTION DIAGNOSTIC CENTER
Rockville Correctional Facility,811 W. 50 N.,Rockville,IN,47872,,,"811 W. 50 N., Rockville, IN 47872",,,ROCKVILLE CORRECTIONAL FACILITY
South Bend Community Reentry Center,4650 Old Cleveland Rd,South Bend,IN,46628,,,"4650 Old Cleveland Rd, South Bend, IN 46628",,,SOUTH BEND COMMUNITY REENTRY CENTER
Wabash Valley Correctional Facility ,6908 S. Old U.S. Hwy 41,Carlisle,IN,47838,,,"6908 S. Old U.S. Hwy 41, Carlisle, IN 47838",,,WABASH VALLEY CORRECTIONAL FACILITY 
Westville Correctional Facility ,5501 S. 1100 W.,Westville,IN,46391,,,"5501 S. 1100 W., Westville, IN 46391",,,WESTVILLE CORRECTIONAL FACILITY 
Anamosa State Penitentiary ,406 W. High St,Anamosa,IA,52205,,,"406 W. High St, Anamosa, IA 52205",,,ANAMOSA STATE PENITENTIARY 
Clarinda Correctional Facility,2000 W. 16th St,Clarinda,IA,51632,,,"2000 W. 16th St, Clarinda, IA 51632",,,CLARINDA CORRECTIONAL FACILITY
Fort Dodge Correctional Facility,1550 L St,Fort Dodge,IA,50501,,,"1550 L St, Fort Dodge, IA 50501",,,FORT DODGE CORRECTIONAL FACILITY
Iowa Correctional Institution for Women,420 Mill St S.W.,Mitchellville,IA,50169,,,"420 Mill St S.W., Mitchellville, IA 50169",,,IOWA CORRECTIONAL INSTITUTION FOR WOMEN
Iowa Medical and Classification Center,2700 Coral Ridge Ave,Coralville,IA,52241,,,"2700 Coral Ridge Ave, Coralville, IA 52241",,,IOWA MEDICAL AND CLASSIFICATION CENTER
Iowa State Penitentiary ,2111 330th Ave,Fort Madison,IA,52627,,,"2111 330th Ave, Fort Madison, IA 52627",,,IOWA STATE PENITENTIARY 
Mount Pleasant Correctional Facility,1200 E. Washington St,Mt. Pleasant,IA,52641,,,"1200 E. Washington St, Mt. Pleasant, IA 52641",,,MOUNT PLEASANT CORRECTIONAL FACILITY
Newton Correctional Facility,307 S. 60th Ave W.,Newton,IA,50208,,,"307 S. 60th Ave W., Newton, IA 50208",,,NEWTON CORRECTIONAL FACILITY
North Central Correctional Facility,313 Lanedale​,Rockwell City,IA,50579,,,"313 Lanedale​, Rockwell City, IA 50579",,,NORTH CENTRAL CORRECTIONAL FACILITY
El Dorado Correctional Facility,1737 US-54,El Dorado,KS,67042,,,"1737 US-54, El Dorado, KS 67042",,,EL DORADO CORRECTIONAL FACILITY
Ellsworth Correctional Facility ,1607 State St,Ellsworth,KS,67439,,,"1607 State St, Ellsworth, KS 67439",,,ELLSWORTH CORRECTIONAL FACILITY 
Hutchinson Correctional Facility,500 Reformatory St,Hutchinson,KS,67504,,,"500 Reformatory St, Hutchinson, KS 67504",,,HUTCHINSON CORRECTIONAL FACILITY
Lansing Correctional Facility ,301 E. Kansas Ave,Lansing,KS,66043,,,"301 E. Kansas Ave, Lansing, KS 66043",,,LANSING CORRECTIONAL FACILITY 
Larned State Correctional Facility ,1318 KS Hwy 264,Larned,KS,67550,,,"1318 KS Hwy 264, Larned, KS 67550",,,LARNED STATE CORRECTIONAL FACILITY 
Norton Correctional Facility,11130 Rd E4,Norton,KS,67654,,,"11130 Rd E4, Norton, KS 67654",,,NORTON CORRECTIONAL FACILITY
Topeka Correctional Facility ,815 S.E. Rice Rd,Topeka,KS,66607,,,"815 S.E. Rice Rd, Topeka, KS 66607",,,TOPEKA CORRECTIONAL FACILITY 
Winfield Correctional Facility ,1806 Pinecrest Cir,Winfield,KS,67156,,,"1806 Pinecrest Cir, Winfield, KS 67156",,,WINFIELD CORRECTIONAL FACILITY 
Wichita Work Release Facility ,401 S. Emporia St,Wichita,KS,67202,,,"401 S. Emporia St, Wichita, KS 67202",,,WICHITA WORK RELEASE FACILITY 
Bell County Forestry Camp,560 Correctional Dr,Pineville,KY,40977,,,"560 Correctional Dr, Pineville, KY 40977",,,BELL COUNTY FORESTRY CAMP
Blackburn Correctional Complex,3111 Spurr Rd,Lexington,KY,40511,,,"3111 Spurr Rd, Lexington, KY 40511",,,BLACKBURN CORRECTIONAL COMPLEX
Eastern KY Correctional Complex,200 Road to Justice,West Liberty,KY,41472,,,"200 Road to Justice, West Liberty, KY 41472",,,EASTERN KY CORRECTIONAL COMPLEX
Green River Correctional Complex,1200 River Rd,Central City,KY,42330,,,"1200 River Rd, Central City, KY 42330",,,GREEN RIVER CORRECTIONAL COMPLEX
KY Correctional Institution for Women,3000 Ash Ave,Pewee Valley,KY,40056,,,"3000 Ash Ave, Pewee Valley, KY 40056",,,KY CORRECTIONAL INSTITUTION FOR WOMEN
Kentucky State Penitentiary,266 Water St,Eddyville,KY,42038,,,"266 Water St, Eddyville, KY 42038",,,KENTUCKY STATE PENITENTIARY
Kentucky State Reformatory,3001 W. Hwy 146,LaGrange,KY,40032,,,"3001 W. Hwy 146, LaGrange, KY 40032",,,KENTUCKY STATE REFORMATORY
Lee Adjustment Center,168 Lee Adjustment Center Dr,Beattyville,KY,41311,,,"168 Lee Adjustment Center Dr, Beattyville, KY 41311",,,LEE ADJUSTMENT CENTER
Little Sandy Correctional Complex,505 Prison Connector,Sandy Hook,KY,41171,,,"505 Prison Connector, Sandy Hook, KY 41171",,,LITTLE SANDY CORRECTIONAL COMPLEX
Luther Luckett Correctional Complex,1612 Dawkins Rd,LaGrange,KY,40031,,,"1612 Dawkins Rd, LaGrange, KY 40031",,,LUTHER LUCKETT CORRECTIONAL COMPLEX
Northpoint Training Center,710 Walter Reed Rd,Burgin,KY,40310,,,"710 Walter Reed Rd, Burgin, KY 40310",,,NORTHPOINT TRAINING CENTER
Roederer Correctional Complex,4000 Morgan Rd,LaGrange,KY,40031,,,"4000 Morgan Rd, LaGrange, KY 40031",,,ROEDERER CORRECTIONAL COMPLEX
Southeaste State Correctional Complex,327 Correctional Dr,Wheelwright,KY,41669,,,"327 Correctional Dr, Wheelwright, KY 41669",,,SOUTHEASTE STATE CORRECTIONAL COMPLEX
Western KY Correctional Complex,374 New Bethel Church Rd,Fredonia,KY,42411,,,"374 New Bethel Church Rd, Fredonia, KY 42411",,,WESTERN KY CORRECTIONAL COMPLEX
Allen Correctional Center,3751 Lauderdale Woodyard Rd,Kinder,LA,70648,,,"3751 Lauderdale Woodyard Rd, Kinder, LA 70648",,,ALLEN CORRECTIONAL CENTER
B.B. Rayburn Correctional Center,27268 Hwy 21,Angie,LA,70426,,,"27268 Hwy 21, Angie, LA 70426",,,B.B. RAYBURN CORRECTIONAL CENTER
David Wade Correctional Center,670 Bell Hill Rd,Homer,LA,71040,,,"670 Bell Hill Rd, Homer, LA 71040",,,DAVID WADE CORRECTIONAL CENTER
Dixon Correctional Institute,5568 LA-68,Jackson,LA,70748,,,"5568 LA-68, Jackson, LA 70748",,,DIXON CORRECTIONAL INSTITUTE
Elayn Hunt Correctional Center,6925 Hwy 74,St. Gabriel,LA,70776,,,"6925 Hwy 74, St. Gabriel, LA 70776",,,ELAYN HUNT CORRECTIONAL CENTER
Louisiana Correctional Institute for Women,15200 Scenic Hwy,Baker,LA,70714,,,"15200 Scenic Hwy, Baker, LA 70714",,,LOUISIANA CORRECTIONAL INSTITUTE FOR WOMEN
Louisiana State Penitentiary,17544 Tunica Trace,Angola,LA,70712,,,"17544 Tunica Trace, Angola, LA 70712",,,LOUISIANA STATE PENITENTIARY
Raymond Laborde Correctional Center,1630 Prison Rd,Cottonport,LA,71327,,,"1630 Prison Rd, Cottonport, LA 71327",,,RAYMOND LABORDE CORRECTIONAL CENTER
Bolduc Correctional Facility ,516 Cushing Rd,Warren,ME,04864,,,,,,BOLDUC CORRECTIONAL FACILITY 
Downeast Correctional Facillity,64 Base Rd,Machiasport,ME,04655,,,,,,DOWNEAST CORRECTIONAL FACILLITY
Maine Correctional Center,17 Mallison Falls Rd,Windham,ME,04062,,,,,,MAINE CORRECTIONAL CENTER
Maine State Prison,807 Cushing Rd,Warren,ME,04864,,,,,,MAINE STATE PRISON
Mountain View Correctional Facility,1182 Dover Rd,Charleston,ME,04422,,,,,,MOUNTAIN VIEW CORRECTIONAL FACILITY
Southern Maine Women's Reentry Center,230 River Rd,Windham,ME,04062,,,,,,SOUTHERN MAINE WOMEN'S REENTRY CENTER
Baltimore City Correctional Center,901 Greenmount Ave,Baltimore,MD,21202,,,"901 Greenmount Ave, Baltimore, MD 21202",,,BALTIMORE CITY CORRECTIONAL CENTER
Central Maryland Correctional Facility,7301 Buttercup Rd,Sykesville,MD,21784,,,"7301 Buttercup Rd, Sykesville, MD 21784",,,CENTRAL MARYLAND CORRECTIONAL FACILITY
Dorsey Run Correctional Facility,2020 Toulson Rd,Jessup,MD,20794,,,"2020 Toulson Rd, Jessup, MD 20794",,,DORSEY RUN CORRECTIONAL FACILITY
Eastern Correctional Institution,30420 Revells Neck Rd,Westover,MD,21890,,,"30420 Revells Neck Rd, Westover, MD 21890",,,EASTERN CORRECTIONAL INSTITUTION
Jessup Correctional Institution,,Jessup,MD,20794,,,,,,JESSUP CORRECTIONAL INSTITUTION
Maryland Correctional Institution - Hagerstown,18601 Roxbury Rd,Hagerstown,MD,21746,,,"18601 Roxbury Rd, Hagerstown, MD 21746",,,MARYLAND CORRECTIONAL INSTITUTION - HAGERSTOWN
Maryland Correctional Institution - Jessup,7803 House of Correction Rd,Jessup,MD,20794,,,"7803 House of Correction Rd, Jessup, MD 20794",,,MARYLAND CORRECTIONAL INSTITUTION - JESSUP
Maryland Correctional Institution for Women,7943 Brockbridge Rd,Jessup,MD,20794,,,"7943 Brockbridge Rd, Jessup, MD 20794",,,MARYLAND CORRECTIONAL INSTITUTION FOR WOMEN
Maryland Correctional Training Center,18800 Roxbury Rd,Hagerstown,MD,21746,,,"18800 Roxbury Rd, Hagerstown, MD 21746",,,MARYLAND CORRECTIONAL TRAINING CENTER
North Branch Correctional Institution,14100 McMullen Hwy,S.W. Cumberland,MD,21502,,,"14100 McMullen Hwy, S.W. Cumberland, MD 21502",,,NORTH BRANCH CORRECTIONAL INSTITUTION
Patuxent Institution,7555 Waterloo Rd,Jessup,MD,20794,,,"7555 Waterloo Rd, Jessup, MD 20794",,,PATUXENT INSTITUTION
Roxbury Correctional Institution,18701 Roxbury Rd,Hagerstown,MD,21746,,,"18701 Roxbury Rd, Hagerstown, MD 21746",,,ROXBURY CORRECTIONAL INSTITUTION
Western Correctional Institution,13800 McMullen Hwy,S.W. Cumberland,MD,21502,,,"13800 McMullen Hwy, S.W. Cumberland, MD 21502",,,WESTERN CORRECTIONAL INSTITUTION
Boston Pre-Release Center,430 Canterbury St,Roslindale ,MA,02131,,,"430 Canterbury St, Roslindale , MA 02131",,,BOSTON PRE-RELEASE CENTER
Lemuel Shattuck Hospital Correctional Unit,180 Morton St,Jamaica Plain,MA,02130,,,"180 Morton St, Jamaica Plain, MA 02130",,,LEMUEL SHATTUCK HOSPITAL CORRECTIONAL UNIT
Massachusetts Correctional Institution - Concord,965 Elm St,Concord,MA,01742,,,"965 Elm St, Concord, MA 01742",,,MASSACHUSETTS CORRECTIONAL INSTITUTION - CONCORD
Massachusetts Correctional Institution - Framingham,99 Loring Dr,Framingham,MA,01701,,,"99 Loring Dr, Framingham, MA 01701",,,MASSACHUSETTS CORRECTIONAL INSTITUTION - FRAMINGHAM
Massachusetts Correctional Institution - Norfolk,2 Clark St,Norfolk,MA,02056,,,"2 Clark St, Norfolk, MA 02056",,,MASSACHUSETTS CORRECTIONAL INSTITUTION - NORFOLK
Massachusetts Correctional Institution - Shirley,104 Harvard Rd,Shirley,MA,01464,,,"104 Harvard Rd, Shirley, MA 01464",,,MASSACHUSETTS CORRECTIONAL INSTITUTION - SHIRLEY
Massachusetts Treatment Center,30 Administration Rd,Bridgewater,MA,02324,,,"30 Administration Rd, Bridgewater, MA 02324",,,MASSACHUSETTS TREATMENT CENTER
North Central Correctional Institution,500 Colony Rd,Gardner,MA,01440,,,"500 Colony Rd, Gardner, MA 01440",,,NORTH CENTRAL CORRECTIONAL INSTITUTION
Northeastern Correctional Center,976 Barretts Mill Rd,West Concord,MA,01742,,,"976 Barretts Mill Rd, West Concord, MA 01742",,,NORTHEASTERN CORRECTIONAL CENTER
Old Colony Correctional Center,1 Administration Rd,Bridgewater,MA,02324,,,"1 Administration Rd, Bridgewater, MA 02324",,,OLD COLONY CORRECTIONAL CENTER
