facility,address,city,system_abbrev,zip_code,latitude,longitude,full_address,capacity,in_hsf,hsf_facility_name
Sierra Conservation Center,5100 O’Byrnes Ferry Rd,Jamestown,CA,95327,37.89350,-120.53746,"5100 O’Byrnes Ferry Rd, Jamestown, CA 95327",,,SIERRA CONSERVATION CENTER
"Substance Abuse Treatment Facility and State Prison, Corcoran",900 Quebec Ave,Corcoran,CA,93212,36.05380,-119.54877,"900 Quebec Ave, Corcoran, CA 93212",,,"SUBSTANCE ABUSE TREATMENT FACILITY AND STATE PRISON, CORCORAN"
Valley State Prison,21633 Ave 24,Chowchilla,CA,93610,37.15266,-120.09819,"21633 Ave 24, Chowchilla, CA 93610",,,VALLEY STATE PRISON
Wasco State Prison,701 Scofield Ave,Wasco,CA,93280,35.59406,119.40675,"701 Scofield Ave, Wasco, CA 93280",,,WASCO STATE PRISON
Arkansas Valley Correctional Facility,12750 CO-96,Ordway,CO,81034,38.18922,-103.83868,"12750 CO-96, Ordway, CO 81034",,,ARKANSAS VALLEY CORRECTIONAL FACILITY
Arrowhead Correctional Center,57500 US-50,Canon City,CO,81212,38.43508,-105.15563,"57500 US-50, Canon City, CO 81212",,,ARROWHEAD CORRECTIONAL CENTER
Buena Vista Correctional Facility,15125 US-24,Buena Vista,CO,81211,38.82212,-106.11672,"15125 US-24, Buena Vista, CO 81211",,,BUENA VISTA CORRECTIONAL FACILITY
Centennial Correctional Facility,,Canon City,CO,81212,38.43770,-105.15212,,,,CENTENNIAL CORRECTIONAL FACILITY
Colorado State Penitentiary,50 Evans Rd,Canon City,CO,81212,38.44057,-105.15760,"50 Evans Rd, Canon City, CO 81212",,,COLORADO STATE PENITENTIARY
Colorado Territorial Correctional Facility,275 US-50,Canon City,CO,81215,38.43750,-105.24911,"275 US-50, Canon City, CO 81215",,,COLORADO TERRITORIAL CORRECTIONAL FACILITY
Delta Correctional Center,11363 E10 Rd,Delta,CO,81416,38.89365,-107.65505,"11363 E10 Rd, Delta, CO 81416",,,DELTA CORRECTIONAL CENTER
Denver Reception & Diagnostic Center,10900 Smith Rd,Denver,CO,80239,39.76707,-104.86006,"10900 Smith Rd, Denver, CO 80239",,,DENVER RECEPTION & DIAGNOSTIC CENTER
Denver Women's Correctional Facility,3600 Havana St,Denver,CO,80239,39.76533,-104.86292,"3600 Havana St, Denver, CO 80239",,,DENVER WOMEN'S CORRECTIONAL FACILITY
Four Mile Correctional Center,E. US Hwy 50 & Evans Rd,Canon City,CO,81212,38.42841,-105.14691,"E. US Hwy 50 & Evans Rd, Canon City, CO 81212",,,FOUR MILE CORRECTIONAL CENTER
Fremont Correctional Facility,600 Evans Rd,Florence,CO,81226,38.42288,-105.16063,"600 Evans Rd, Florence, CO 81226",,,FREMONT CORRECTIONAL FACILITY
La Vista Correctional Facility,,Pueblo,CO,81003,38.28500,-104.62934,,,,LA VISTA CORRECTIONAL FACILITY
Limon Correctional Facility,49030 CO-71,Limon,CO,80826,39.21658,-103.69355,"49030 CO-71, Limon, CO 80826",,,LIMON CORRECTIONAL FACILITY
Rifle Correctional Center,200 Co Rd 219,Rifle,CO,81650,39.65065,-107.77865,"200 Co Rd 219, Rifle, CO 81650",,,RIFLE CORRECTIONAL CENTER
San Carlos Correctional Facility,1410 W. 13th St,Pueblo,CO,81003,38.27918,-104.62300,"1410 W. 13th St, Pueblo, CO 81003",,,SAN CARLOS CORRECTIONAL FACILITY
Skyline Correctional Center,,Canon City,CO,81212,38.42970,-105.15779,,,,SKYLINE CORRECTIONAL CENTER
Sterling Correctional Facility ,12101 CO-61,Sterling,CO,80751,40.61139,-103.16155,"12101 CO-61, Sterling, CO 80751",,,STERLING CORRECTIONAL FACILITY 
Trinidad Correctional Facility,21000 US-350,Model,CO,81059,37.30043,-104.28637,"21000 US-350, Model, CO 81059",,,TRINIDAD CORRECTIONAL FACILITY
Youthful Offender System,1300 W. 13th St,Pueblo,CO,81003,38.27900,-104.62719,"1300 W. 13th St, Pueblo, CO 81003",,,YOUTHFUL OFFENDER SYSTEM
Bridgeport Correctional Center,1106 North Ave,Bridgeport,CT,06604,42.14452,-69.95573,"1106 North Ave, Bridgeport, CT 06604",,,BRIDGEPORT CORRECTIONAL CENTER
Brooklyn Correctional Institution ,59 Hartford Rd,Brooklyn ,CT,06234,41.78440,-71.95377,"59 Hartford Rd, Brooklyn , CT 06234",,,BROOKLYN CORRECTIONAL INSTITUTION 
Cheshire Correctional Institution,900 Highland Ave,Cheshire ,CT,06410,41.56978,-72.81216,"900 Highland Ave, Cheshire , CT 06410",,,CHESHIRE CORRECTIONAL INSTITUTION
Cybulski Community Reintegration Center,264 Bilton Rd,Somers,CT,06071    ,42.02307,-72.50593,"264 Bilton Rd, Somers, CT 06071    ",,,CYBULSKI COMMUNITY REINTEGRATION CENTER
Garner Correctional Institution,50 Nunnawauk Rd,Newtown,CT,06470,41.40737,-73.18148,"50 Nunnawauk Rd, Newtown, CT 06470",,,GARNER CORRECTIONAL INSTITUTION
Hartford Correctional Center,177 Weston St,Hartford,CT,06120,41.79361,-72.66103,"177 Weston St, Hartford, CT 06120",,,HARTFORD CORRECTIONAL CENTER
MacDougall-Walker Correctional Institution,1153 E. St,South Suffield,CT,06080,41.95019,-72.63699,"1153 E. St, South Suffield, CT 06080",,,MACDOUGALL-WALKER CORRECTIONAL INSTITUTION
Manson Youth Institution,42 Jarvis St,Cheshire,CT,06410,41.52893,-72.89895,"42 Jarvis St, Cheshire, CT 06410",,,MANSON YOUTH INSTITUTION
