"","age_cat","count_2021","count_2022","rate_2021","rate_2022"
"1","18-24",11,12,0.0182119205298013,0.020979020979021
"2","25 - 34",53,56,0.0877483443708609,0.0979020979020979
"3","35 - 44",104,80,0.172185430463576,0.13986013986014
"4","45 - 54",112,80,0.185430463576159,0.13986013986014
"5","55 - 64",135,126,0.223509933774834,0.22027972027972
"6","65 - 74",113,137,0.187086092715232,0.23951048951049
"7","75 - 84",67,69,0.110927152317881,0.120629370629371
"8","85+",9,12,0.0149006622516556,0.020979020979021
