"","c_system_abbr","dod_year","cum_sum_dplyr","n","total_fields","perc"
"196","SD","2008",30,6,60,50
"197","SD","2009",20,4,40,50
"198","SD","2010",35,7,70,50
"199","SD","2011",60,12,120,50
"200","SD","2012",40,8,80,50
"201","SD","2013",43,9,90,47.7777777777778
"202","SD","2014",35,7,70,50
"203","SD","2015",35,7,70,50
"204","SD","2016",20,4,40,50
"205","SD","2017",60,12,120,50
"206","SD","2018",29,6,60,48.3333333333333
"207","SD","2019",57,12,120,47.5
"208","SD","2020",60,12,120,50
"209","SD","2021",55,11,110,50
"210","SD","2022",65,14,140,46.4285714285714
"211","SD","2023",28,7,70,40
"212","SD","2024",12,3,30,40
"213","TN","2015",15,2,20,75
"214","TN","2016",24,3,30,80
"215","TN","2017",7,1,10,70
"216","TN","2018",25,4,40,62.5
"217","TN","2019",26,4,40,65
"218","TN","2020",19,3,30,63.3333333333333
"219","TN","2021",17,2,20,85
"220","TN","2023",8,1,10,80
"221","TX","2000",242,39,390,62.051282051282
"222","TX","2001",103,17,170,60.5882352941176
"223","TX","2002",203,33,330,61.5151515151515
"224","TX","2003",152,24,240,63.3333333333333
"225","TX","2004",144,23,230,62.6086956521739
"226","TX","2005",124,19,190,65.2631578947368
"227","TX","2006",159,24,240,66.25
"228","TX","2023",6,1,10,60
"229","UT","2015",18,3,30,60
"230","UT","2016",21,3,30,70
"231","UT","2017",5,1,10,50
"232","UT","2018",5,1,10,50
"233","UT","2019",9,2,20,45
"234","UT","2020",9,2,20,45
"235","UT","2021",11,2,20,55
"236","UT","2022",4,1,10,40
"237","UT","2023",8,2,20,40
"238","VA","2018",7,1,10,70
"239","VA","2019",15,2,20,75
"240","VA","2020",27,5,50,54
"241","VA","2021",14,2,20,70
"242","VA","2022",8,2,20,40
"243","VA","2023",4,1,10,40
"244","VT","2019",6,1,10,60
"245","VT","2020",12,2,20,60
"246","VT","2021",5,1,10,50
"247","VT","2022",59,9,90,65.5555555555556
"248","VT","2023",56,9,90,62.2222222222222
"249","WA","2020",44,8,80,55
"250","WA","2021",24,6,60,40
"251","WA","2022",10,2,20,50
"252","WY","2021",37,9,90,41.1111111111111
"253","WY","2022",41,9,90,45.5555555555556
"254","WY","2023",58,11,110,52.7272727272727
